Scientific_Name,Missing_Status,Years_Missing,Last_Record_Year,Last_Record_Date,Last_Known_Latitude,Last_Known_Longitude,Last_Known_Reserve,First_Record_Year,First_Record_Date,First_Known_Latitude,First_Known_Longitude,First_Known_Reserve,Record_Span_Years,Total_Records,GPS_Locations,All_Reserves_Found,Geographic_Range_Lat,Geographic_Range_Lon,Min_Latitude,Max_Latitude,Min_Longitude,Max_Longitude
Carex pumila,Recent,18,2007,2007-12-07,-33.97194,151.03287,Not in a reserve,2007,2007-12-07,-33.97194,151.03287,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Yucca aloifolia,Recent,18,2007,2007-07-03,-33.910303,150.988021,Not in a reserve,2004,2004-01-16,-33.910549,150.988188,Not in a reserve,3,2,2,Not in a reserve,0.000246,0.000167,-33.910549,-33.910303,150.988021,150.988188
Acacia falciformis,Recent,18,2007,2007-12-23,-33.93576,151.02208,Flood Reserve,2007,2007-12-23,-33.93576,151.02208,Flood Reserve,0,1,1,Flood Reserve,,,,,,
Ricinocarpos pinifolius,Recent,17,2008,2008-05-21,-33.980667,151.012818,Not in a reserve,1999,1999-04-21,-33.970898,151.026255,Not in a reserve,9,3,3,Not in a reserve,0.009769,0.02005,-33.980667,-33.970898,151.012818,151.032868
Solanum aviculare,Recent,17,2008,2008-05-21,-33.980667,151.012818,Not in a reserve,2008,2008-05-21,-33.980667,151.012818,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Styphelia laeta,Recent,17,2008,2008-05-21,-33.980667,151.012818,Not in a reserve,1999,1999-05-05,-33.973341,151.009964,Not in a reserve,9,2,2,Not in a reserve,0.007326,0.002854,-33.980667,-33.973341,151.009964,151.012818
Swainsona galegifolia,Recent,17,2008,2008-03-07,-33.911035,150.996728,Crest,2008,2008-03-07,-33.911035,150.996728,Crest,0,1,1,Crest,,,,,,
Vittadinia sulcata,Recent,17,2008,2008-03-07,-33.911035,150.996728,Crest,2008,2008-03-07,-33.911035,150.996728,Crest,0,2,2,Crest; Lansdowne,0.011,0.016569,-33.911035,-33.900035,150.980159,150.996728
Vittadinia cuneata,Recent,17,2008,2008-03-07,-33.911035,150.996728,Crest,2008,2008-03-07,-33.911035,150.996728,Crest,0,1,1,Crest,,,,,,
Zornia dyctiocarpa var. dyctiocarpa,Recent,17,2008,2008-03-07,-33.900035,150.980159,Lansdowne,2008,2008-03-07,-33.900035,150.980159,Lansdowne,0,1,1,Lansdowne,,,,,,
Seringia denticulata,Recent,17,2008,2008-03-07,-33.893876,150.977407,Lansdowne,2008,2008-03-07,-33.893876,150.977407,Lansdowne,0,1,1,Lansdowne,,,,,,
Solenogyne bellioides,Recent,17,2008,2008-04-28,-33.902161,150.998009,Carysfield,2008,2008-04-28,-33.902161,150.998009,Carysfield,0,1,1,Carysfield,,,,,,
Persicaria maculosa,Recent,17,2008,2008-04-28,-33.902161,150.998009,Carysfield,2008,2008-04-28,-33.902161,150.998009,Carysfield,0,1,1,Carysfield,,,,,,
Omphacomeria acerba,Recent,17,2008,2008-12-07,-33.921711,150.997024,Not in a reserve,2007,2007-12-07,-33.921721,150.997022,Not in a reserve,1,2,2,Not in a reserve,1e-05,2e-06,-33.921721,-33.921711,150.997022,150.997024
Pultenaea flexilis,Recent,17,2008,2008-11-17,-33.97194,151.03287,Not in a reserve,2001,2001-12-21,-33.972761,150.998401,Lambeth Reserve,7,6,6,Not in a reserve; Lambeth Reserve,0.001124,0.036953,-33.973064,-33.97194,150.995917,151.03287
Ajuga australis,Recent,17,2008,2008-03-07,-33.911035,150.996728,Crest,2008,2008-03-07,-33.911035,150.996728,Crest,0,1,1,Crest,,,,,,
Muellerina celastroides,Recent,17,2008,2008-01-17,-33.928156,150.979715,Kentucky Reserve,2008,2008-01-17,-33.928156,150.979715,Kentucky Reserve,0,2,2,Kentucky Reserve; Ashford Reserve,0.001645,0.005809,-33.929801,-33.928156,150.979715,150.985524
Hakea salicifolia,Recent,17,2008,2008-10-23,-33.97194,151.03287,Not in a reserve,1994,1994-08-28,-33.976161,151.002878,Not in a reserve,14,3,3,Not in a reserve,0.065612,0.044682,-33.976161,-33.910549,150.988188,151.03287
Hovea longifolia,Recent,17,2008,2008-11-24,-33.90947,150.99401,Crest,2001,2001-12-21,-33.972761,150.998401,Lambeth Reserve,7,5,5,Crest; Deepwater; Lambeth Reserve,0.066055,0.025923,-33.972761,-33.906706,150.972478,150.998401
